C1:1
DISPLAY1:1
ESC_POWER1:1
ESC_SIGNAL1:1
GRIND1:1
HX711:1
LED1:1
LEFT1:1
LM2596:1
POWER_IN1:1
REF1:1
REF2:1
REF3:1
REF4:1
RIGHT1:1
U1:1
