Designator,Mid X,Mid Y,Rotation,Layer
A4988,144.65,-69.19,0.0,top
C1,145.1323,-88.0,0.0,top
DISPLAY1,160.25,-64.0,0.0,top
GRIND1,151.0,-99.0,0.0,top
HX711,160.25,-86.0,0.0,top
LEFT1,141.0,-99.0,0.0,top
LM2596,91.0,-82.5,90.0,top
POWER1,91.25,-109.25,0.0,top
RIGHT1,161.0,-99.0,0.0,top
STEPPER1,160.25,-75.0,0.0,top
U1,119.6,-82.5,0.0,top
