Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P7.50mm,1,C_Polarized,
DISPLAY1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,SSD1306,
ESC_POWER1,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,Conn_01x02,
ESC_SIGNAL1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
"GRIND1, LED1, LEFT1, RIGHT1",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,4,Conn_01x03_Pin,
HX711,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
LM2596,YAAJ_DCDC_StepDown_LM2596,1,YAAJ_DCDC_StepDown_LM2596,
POWER_IN1,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,Conn_01x02_Pin,
U1,ESP32-DevKitC,1,ESP32-DevKitC,
